X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,ns3_TrackPointExtension
-0.514095146209002,49.1440350562334,0,0,52,97.1999969482422,2020/12/11 07:53:02+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>21.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>77</ns3:cad>          
-0.514032784849405,49.1441189590842,0,0,53,97.1999969482422,2020/12/11 07:53:05+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>21.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>77</ns3:cad>          
-0.51394552923739,49.1442311089486,0,0,54,96.8000030517578,2020/12/11 07:53:09+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>21.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.513806641101837,49.1443860903382,0,0,55,96,2020/12/11 07:53:15+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>21.0</ns3:atemp>            <ns3:hr>148</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.513642774894834,49.1445475257933,0,0,56,95.5999984741211,2020/12/11 07:53:21+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>21.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.513586113229394,49.1446052771062,0,0,57,95.5999984741211,2020/12/11 07:53:23+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>21.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.513422582298517,49.1447657905519,0,0,58,94.8000030517578,2020/12/11 07:53:29+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>21.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.513404058292508,49.1447909362614,0,0,59,94.4000015258789,2020/12/11 07:53:30+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>21.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.513244299218059,49.1449465882033,0,0,60,94.4000015258789,2020/12/11 07:53:36+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>21.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.513069368898869,49.1451081074774,0,0,61,94.4000015258789,2020/12/11 07:53:42+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>21.0</ns3:atemp>            <ns3:hr>151</ns3:hr>            <ns3:cad>79</ns3:cad>          
